step,sim_time,force_z,x_def_x,x_def_y,x_def_z
109,2.1800,-60.8273,0.009215,-0.010089,-0.099270
110,2.2000,-62.8824,0.003616,-0.004665,-0.105652
111,2.2200,-64.6894,0.001885,-0.002259,-0.111361
112,2.2400,-66.2410,0.002790,-0.002001,-0.116533
113,2.2600,-67.5313,0.001773,-0.000589,-0.121135
114,2.2800,-68.5550,0.000750,0.002217,-0.125149
115,2.3000,-69.3082,0.001762,0.005279,-0.128562
116,2.3200,-69.7879,0.004641,0.008289,-0.131262
117,2.3400,-69.9921,0.008590,0.010686,-0.133292
118,2.3600,-69.9201,0.012341,0.012498,-0.134764
119,2.3800,-69.5721,0.013135,0.014733,-0.135827
120,2.4000,-68.9496,0.013938,0.016177,-0.136376
121,2.4200,-68.0550,0.015088,0.016582,-0.136490
122,2.4400,-66.8918,0.015110,0.015811,-0.136306
123,2.4600,-65.4646,0.013329,0.014116,-0.135777
124,2.4800,-63.7791,0.007830,0.012980,-0.134542
125,2.5000,-61.8418,0.000495,0.012398,-0.132538
126,2.5200,-59.6605,-0.007691,0.011966,-0.129540
127,2.5400,-57.2437,-0.016589,0.011710,-0.125361
128,2.5600,-54.6010,-0.024258,0.011521,-0.120525
129,2.5800,-51.7428,-0.026687,0.010564,-0.116294
130,2.6000,-48.6804,-0.023987,0.008962,-0.112614
131,2.6200,-45.4260,-0.018415,0.007180,-0.108718
132,2.6400,-41.9922,-0.013098,0.005261,-0.104247
133,2.6600,-38.3927,-0.009578,0.003075,-0.099101
134,2.6800,-34.6417,-0.008506,0.001149,-0.093216
135,2.7000,-30.7540,-0.008205,-0.000031,-0.086822
136,2.7200,-26.7449,-0.006949,-0.000269,-0.080106
137,2.7400,-22.6302,-0.004382,0.000396,-0.072996
138,2.7600,-18.4263,-0.001666,0.001771,-0.065477
139,2.7800,-14.1496,-0.000156,0.003468,-0.057611
140,2.8000,-9.8171,0.000696,0.004874,-0.049467
141,2.8200,-5.4458,0.001146,0.005680,-0.041129
142,2.8400,-1.0530,0.001255,0.005719,-0.032698
143,2.8600,3.3439,0.001096,0.004920,-0.024271
144,2.8800,7.7276,0.000887,0.003312,-0.015928
145,2.9000,12.0808,0.000971,0.001051,-0.007697
146,2.9200,16.3864,0.001110,-0.001561,0.000503
147,2.9400,20.6273,0.001426,-0.004200,0.008729
148,2.9600,24.7867,0.001377,-0.006715,0.016995
149,2.9800,28.8484,-0.000253,-0.009020,0.025162
